"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x3270296419","x1149538080631640070",2019-07-12 04:36:50,"mehta_data","12am and I don't even know #nclgba19 #wilmingtonnightlife #thehawkeyes #budgettosalesinnotime #itspastclosingtimeandwekeepitopen @MsKeyChelle @ltayara1 @jamos51 @PatMadej @awholebunchofothers https://t.co/dK7x7r2Jf6","Twitter for Android",191,,,,FALSE,FALSE,0,0,,,"nclgba19 wilmingtonnightlife thehawkeyes budgettosalesinnotime itspastclosingtimeandwekeepitopen",,,,,"http://pbs.twimg.com/media/D_P6w1jVAAE0HPL.jpg","https://t.co/dK7x7r2Jf6","https://twitter.com/mehta_data/status/1149538080631640070/photo/1","photo","http://pbs.twimg.com/media/D_P6w1jVAAE0HPL.jpg http://pbs.twimg.com/media/D_P6xo0UcAEbz5R.jpg http://pbs.twimg.com/media/D_P6yYKU4AMHDNR.jpg","https://t.co/dK7x7r2Jf6 https://t.co/dK7x7r2Jf6 https://t.co/dK7x7r2Jf6","https://twitter.com/mehta_data/status/1149538080631640070/photo/1 https://twitter.com/mehta_data/status/1149538080631640070/photo/1 https://twitter.com/mehta_data/status/1149538080631640070/photo/1",,"x380021075 x755111952112902144 x87069035 x1379631529","MsKeyChelle ltayara1 jamos51 PatMadej","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/07d9dc723fc83000.json","The Whiskey","The Whiskey","poi","United States","US","NA NA","NA NA","-77.9486935312845 -77.9486935312845 -77.9486935312845 -77.9486935312845 34.2351697571324 34.2351697571324 34.2351697571324 34.2351697571324","https://twitter.com/mehta_data/status/1149538080631640070","PK Mehta","North Carolina, USA","Analyst by day and night, numbers-driven stream of consciousness",,FALSE,75,178,0,83,151,2015-07-06 17:59:31,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/712752200439570432/b8lQ5fxS_normal.jpg"
"x3270296419","x1149532462143303682",2019-07-12 04:14:30,"mehta_data","Too many to count @nclgba attendees for the sunset and company! #NCLGBA19 #rooftop #mosquitos #wilmingtonnightlife #wherethetikitorchesat https://t.co/lVbGqnaKw5","Twitter for Android",137,,,,FALSE,FALSE,2,0,,,"NCLGBA19 rooftop mosquitos wilmingtonnightlife wherethetikitorchesat",,,,,"http://pbs.twimg.com/media/D_P1oi7U0AMPHN8.jpg","https://t.co/lVbGqnaKw5","https://twitter.com/mehta_data/status/1149532462143303682/photo/1","photo","http://pbs.twimg.com/media/D_P1oi7U0AMPHN8.jpg http://pbs.twimg.com/media/D_P1pJCVUAMflMV.jpg http://pbs.twimg.com/media/D_P1qIOVAAEHUB0.jpg http://pbs.twimg.com/media/D_P1q-WU4AEIzNs.jpg","https://t.co/lVbGqnaKw5 https://t.co/lVbGqnaKw5 https://t.co/lVbGqnaKw5 https://t.co/lVbGqnaKw5","https://twitter.com/mehta_data/status/1149532462143303682/photo/1 https://twitter.com/mehta_data/status/1149532462143303682/photo/1 https://twitter.com/mehta_data/status/1149532462143303682/photo/1 https://twitter.com/mehta_data/status/1149532462143303682/photo/1",,"x89114709","nclgba","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/0fc39e50c8d4f000.json","Embassy Suites by Hilton Wilmington Riverfront","Embassy Suites by Hilton Wilmington Riverfront","poi","United States","US","NA NA","NA NA","-77.9523044429916 -77.9523044429916 -77.9523044429916 -77.9523044429916 34.2421151663542 34.2421151663542 34.2421151663542 34.2421151663542","https://twitter.com/mehta_data/status/1149532462143303682","PK Mehta","North Carolina, USA","Analyst by day and night, numbers-driven stream of consciousness",,FALSE,75,178,0,83,151,2015-07-06 17:59:31,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/712752200439570432/b8lQ5fxS_normal.jpg"
"x3270296419","x1149415312355463170",2019-07-11 20:29:00,"mehta_data","5 budgeteers in the session after the session #nclgba19  @berthajohnson20 https://t.co/ZZCpdk9ZfI","Twitter for Android",73,,,,FALSE,FALSE,5,0,,,"nclgba19",,,,,"http://pbs.twimg.com/media/D_OLIOuWwAMt0h_.jpg","https://t.co/ZZCpdk9ZfI","https://twitter.com/mehta_data/status/1149415312355463170/photo/1","photo","http://pbs.twimg.com/media/D_OLIOuWwAMt0h_.jpg","https://t.co/ZZCpdk9ZfI","https://twitter.com/mehta_data/status/1149415312355463170/photo/1",,"x2508051421","berthajohnson20","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/3b98b02fba3f9753.json","North Carolina","North Carolina, USA","admin","United States","US","NA NA","NA NA","-84.3219475 -75.40012 -75.40012 -84.3219475 33.752879 33.752879 36.588118 36.588118","https://twitter.com/mehta_data/status/1149415312355463170","PK Mehta","North Carolina, USA","Analyst by day and night, numbers-driven stream of consciousness",,FALSE,75,178,0,83,151,2015-07-06 17:59:31,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/712752200439570432/b8lQ5fxS_normal.jpg"
"x3270296419","x1149120912752545792",2019-07-11 00:59:09,"mehta_data","20+ @nclgba attendees took the advice of our Past Presidents and city/county networking #NCLGBA19 #rollindeep #blessed #lol #getthatpaper https://t.co/zciOi8zPBh","Twitter for Android",137,,,,FALSE,FALSE,14,1,,,"NCLGBA19 rollindeep blessed lol getthatpaper",,,,,"http://pbs.twimg.com/media/D_J_WVbWsAALCd8.jpg","https://t.co/zciOi8zPBh","https://twitter.com/mehta_data/status/1149120912752545792/photo/1","photo","http://pbs.twimg.com/media/D_J_WVbWsAALCd8.jpg http://pbs.twimg.com/media/D_J_XHmXUAErw7m.jpg http://pbs.twimg.com/media/D_J_YCYXoAIj6oe.jpg","https://t.co/zciOi8zPBh https://t.co/zciOi8zPBh https://t.co/zciOi8zPBh","https://twitter.com/mehta_data/status/1149120912752545792/photo/1 https://twitter.com/mehta_data/status/1149120912752545792/photo/1 https://twitter.com/mehta_data/status/1149120912752545792/photo/1",,"x89114709","nclgba","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/07d9d00175483000.json","Downtown Wilmington","Downtown Wilmington","poi","United States","US","NA NA","NA NA","-77.9484857547921 -77.9484857547921 -77.9484857547921 -77.9484857547921 34.2365626900317 34.2365626900317 34.2365626900317 34.2365626900317","https://twitter.com/mehta_data/status/1149120912752545792","PK Mehta","North Carolina, USA","Analyst by day and night, numbers-driven stream of consciousness",,FALSE,75,178,0,83,151,2015-07-06 17:59:31,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/712752200439570432/b8lQ5fxS_normal.jpg"
"x2322805184","x1149517499097948162",2019-07-12 03:15:03,"SEELGL","Great crowd and great food! Thank you for all of your hard work and service to your communities #ELGL #NCLGBA19. I believe this is a Supper Club attendance record, @kowyatt ..... https://t.co/4z9lXoGYRL","Twitter for iPhone",140,,,,FALSE,TRUE,0,2,,,"ELGL NCLGBA19",,,,,,,,,,,,,"x32420721","Greg_James_","en",,,,,,,,,,,,,,,,"x1149467971523207168","Great crowd and great food! Thank you for all of your hard work and service to your communities #ELGL #NCLGBA19. I believe this is a Supper Club attendance record, @kowyatt ..... https://t.co/4z9lXoGYRL",2019-07-11 23:58:15,"Twitter for Android",6,2,"x32420721","Greg_James_","Greg James",366,52,1981,"Apex, NC","Serving local and state governments in finding new ways to manage capacity, accelerate service provision, engage the community, and feel accomplished at work.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SEELGL/status/1149517499097948162","Southeast ELGL ⛱","Southeast","@CityHallSelfie @GovLovePodcast @ELGL50 #ELGLInspire #CityHallSelfie","https://t.co/Q9j8gQs5rk",FALSE,2095,442,84,10384,4689,2014-02-01 19:55:11,FALSE,"https://t.co/Q9j8gQs5rk","http://elgl.org",,"https://pbs.twimg.com/profile_banners/2322805184/1560893540","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1085173906045104128/osVJpAt9_normal.jpg"
"x36566386","x1149493396886523904",2019-07-12 01:39:17,"UNCWMPA","Our final #NCLGBA19 sponsor recognition goes out to legislative committee sponsors VC3 Information Technology and @Public_Input, and non-registration sponsors @Edifice_inc and @UNCWMPA. Thank you so much for your support! https://t.co/Tl2mVoqAfM","Twitter for iPhone",140,,,,FALSE,TRUE,0,2,,,"NCLGBA19",,,,,,,,,,,,,"x89114709 x852172373621170176","nclgba Public_Input","en",,,,,,,,,,,,,,,,"x1149414942992490496","Our final #NCLGBA19 sponsor recognition goes out to legislative committee sponsors VC3 Information Technology and @Public_Input, and non-registration sponsors @Edifice_inc and @UNCWMPA. Thank you so much for your support! https://t.co/Tl2mVoqAfM",2019-07-11 20:27:32,"Twitter for iPhone",4,2,"x89114709","nclgba","NC Local Govt Budget",401,168,1683,"North Carolina","Professional org for local govt budget professionals in NC. Promoting the budgeting profession through education, networking, advocacy.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/UNCWMPA/status/1149493396886523904","UNCW MPA Program","Wilmington, NC","The Master of Public Administration Program at UNCW.","http://t.co/pLBCQE8IWc",FALSE,257,103,12,458,36,2009-04-30 02:22:10,FALSE,"http://t.co/pLBCQE8IWc","http://www.uncw.edu/mpa",,"https://pbs.twimg.com/profile_banners/36566386/1549392518","http://abs.twimg.com/images/themes/theme2/bg.gif","http://pbs.twimg.com/profile_images/1092859637735571457/MREFrs51_normal.jpg"
"x319320598","x1148578282583072768",2019-07-09 13:02:56,"ELGL50","On the eve of #NCLGBA19, I received a very nice note from ⁦@kwyatt23⁩. @nclgba couldn’t ask for better #localgov partners than our ⁦@ELGL50⁩ friends. https://t.co/CzN1ko6gpk","Twitter for iPhone",140,,,,FALSE,TRUE,0,3,,,"NCLGBA19 localgov",,,,,,,,,,,,,"x87069035 x25059786 x89114709","jamos51 kwyatt23 nclgba","en",,,,,,,,,,,,,,,,"x1148574420732129282","On the eve of #NCLGBA19, I received a very nice note from ⁦@kwyatt23⁩. @nclgba couldn’t ask for better #localgov partners than our ⁦@ELGL50⁩ friends. https://t.co/CzN1ko6gpk",2019-07-09 12:47:36,"Twitter for iPhone",22,3,"x87069035","jamos51","Justin Amos",263,555,496,"Charlotte, NC","Passionate about local government, Tar Heels, eating and drinking local, my home state, running long distances --views my own",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ELGL50/status/1148578282583072768","ELGL 🌎","Worldwide","Engaging Local Government Leaders @govlovepodcast ❤️ #LocalGov #13Percent #CityHallSelfie #ELGLPopUps #ELGL19 #NDOSC #ELGLRoadTrip #ELGLInspire","https://t.co/Q9j8gQau2K",FALSE,10928,934,361,50885,23637,2011-06-17 22:46:59,FALSE,"https://t.co/Q9j8gQau2K","http://elgl.org",,"https://pbs.twimg.com/profile_banners/319320598/1558020200","http://abs.twimg.com/images/themes/theme3/bg.gif","http://pbs.twimg.com/profile_images/1148612698524901376/qscN_0QT_normal.jpg"
"x319320598","x1148324985636700160",2019-07-08 20:16:26,"ELGL50","Hey #NCLGBA19 attendees! We’re excited to announce that our friends at ⁦@ELGL50⁩ and ⁦@Oracle⁩ are hosting a #supperclub on Thursday! Please join us for an evening of stimulating conversation and a chance to connect ⁦@nclgba⁩  https://t.co/i2H2omgYBY","Twitter for iPhone",140,,,,FALSE,TRUE,0,2,,,"NCLGBA19 supperclub",,,,,,,,,,,,,"x87069035 x319320598 x809273","jamos51 ELGL50 Oracle","en",,,,,,,,,,,,,,,,"x1148322011674009600","Hey #NCLGBA19 attendees! We’re excited to announce that our friends at ⁦@ELGL50⁩ and ⁦@Oracle⁩ are hosting a #supperclub on Thursday! Please join us for an evening of stimulating conversation and a chance to connect ⁦@nclgba⁩  https://t.co/i2H2omgYBY",2019-07-08 20:04:37,"Twitter for iPhone",7,2,"x87069035","jamos51","Justin Amos",263,555,496,"Charlotte, NC","Passionate about local government, Tar Heels, eating and drinking local, my home state, running long distances --views my own",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ELGL50/status/1148324985636700160","ELGL 🌎","Worldwide","Engaging Local Government Leaders @govlovepodcast ❤️ #LocalGov #13Percent #CityHallSelfie #ELGLPopUps #ELGL19 #NDOSC #ELGLRoadTrip #ELGLInspire","https://t.co/Q9j8gQau2K",FALSE,10928,934,361,50885,23637,2011-06-17 22:46:59,FALSE,"https://t.co/Q9j8gQau2K","http://elgl.org",,"https://pbs.twimg.com/profile_banners/319320598/1558020200","http://abs.twimg.com/images/themes/theme3/bg.gif","http://pbs.twimg.com/profile_images/1148612698524901376/qscN_0QT_normal.jpg"
"x319320598","x1149471749706145797",2019-07-12 00:13:15,"ELGL50","Great crowd and great food! Thank you for all of your hard work and service to your communities #ELGL #NCLGBA19. I believe this is a Supper Club attendance record, @kowyatt ..... https://t.co/4z9lXoGYRL","Twitter for iPhone",140,,,,FALSE,TRUE,0,2,,,"ELGL NCLGBA19",,,,,,,,,,,,,"x32420721","Greg_James_","en",,,,,,,,,,,,,,,,"x1149467971523207168","Great crowd and great food! Thank you for all of your hard work and service to your communities #ELGL #NCLGBA19. I believe this is a Supper Club attendance record, @kowyatt ..... https://t.co/4z9lXoGYRL",2019-07-11 23:58:15,"Twitter for Android",6,2,"x32420721","Greg_James_","Greg James",366,52,1981,"Apex, NC","Serving local and state governments in finding new ways to manage capacity, accelerate service provision, engage the community, and feel accomplished at work.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ELGL50/status/1149471749706145797","ELGL 🌎","Worldwide","Engaging Local Government Leaders @govlovepodcast ❤️ #LocalGov #13Percent #CityHallSelfie #ELGLPopUps #ELGL19 #NDOSC #ELGLRoadTrip #ELGLInspire","https://t.co/Q9j8gQau2K",FALSE,10928,934,361,50885,23637,2011-06-17 22:46:59,FALSE,"https://t.co/Q9j8gQau2K","http://elgl.org",,"https://pbs.twimg.com/profile_banners/319320598/1558020200","http://abs.twimg.com/images/themes/theme3/bg.gif","http://pbs.twimg.com/profile_images/1148612698524901376/qscN_0QT_normal.jpg"
"x89114709","x1149306825013178368",2019-07-11 13:17:54,"nclgba","Jackson: high performing organizations have 4 things in common: mission/vision, data analysis, listening to customers, and engaging employees #NCLGBA19","Twitter for iPhone",140,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,,,"x87069035","jamos51","en",,,,,,,,,,,,,,,,"x1149298610099642368","Jackson: high performing organizations have 4 things in common: mission/vision, data analysis, listening to customers, and engaging employees #NCLGBA19",2019-07-11 12:45:16,"Twitter for iPhone",5,1,"x87069035","jamos51","Justin Amos",263,555,496,"Charlotte, NC","Passionate about local government, Tar Heels, eating and drinking local, my home state, running long distances --views my own",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/nclgba/status/1149306825013178368","NC Local Govt Budget","North Carolina","Professional org for local govt budget professionals in NC. Promoting the budgeting profession through education, networking, advocacy.","http://t.co/kpPMhQ2isA",FALSE,401,168,7,1683,530,2009-11-11 05:20:59,FALSE,"http://t.co/kpPMhQ2isA","http://www.nclgba.org",,,"http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/738109196269424642/ntPPCcNg_normal.jpg"
"x89114709","x1149306851198193664",2019-07-11 13:18:01,"nclgba","#NCLGBA19 fun fact: 45% of attendees are #localgov analysts https://t.co/T1yUIZI5AS","Twitter for iPhone",96,,,,FALSE,TRUE,0,1,,,"NCLGBA19 localgov",,,,,"http://pbs.twimg.com/media/D_Mfo5MXYAAbs-h.jpg","https://t.co/T1yUIZI5AS","https://twitter.com/jamos51/status/1149297122115751936/photo/1","photo","http://pbs.twimg.com/media/D_Mfo5MXYAAbs-h.jpg","https://t.co/T1yUIZI5AS","https://twitter.com/jamos51/status/1149297122115751936/photo/1",,"x87069035","jamos51","en",,,,,,,,,,,,,,,,"x1149297122115751936","#NCLGBA19 fun fact: 45% of attendees are #localgov analysts https://t.co/T1yUIZI5AS",2019-07-11 12:39:21,"Twitter for iPhone",3,1,"x87069035","jamos51","Justin Amos",263,555,496,"Charlotte, NC","Passionate about local government, Tar Heels, eating and drinking local, my home state, running long distances --views my own",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/nclgba/status/1149306851198193664","NC Local Govt Budget","North Carolina","Professional org for local govt budget professionals in NC. Promoting the budgeting profession through education, networking, advocacy.","http://t.co/kpPMhQ2isA",FALSE,401,168,7,1683,530,2009-11-11 05:20:59,FALSE,"http://t.co/kpPMhQ2isA","http://www.nclgba.org",,,"http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/738109196269424642/ntPPCcNg_normal.jpg"
"x89114709","x1149364397019557889",2019-07-11 17:06:41,"nclgba","Outgoing President @steve_hawryluk  kicks off our business meeting. #nclgba19 https://t.co/kqXkAKkyxM","Twitter for iPhone",77,,,,FALSE,FALSE,8,0,,,"nclgba19",,,,,"http://pbs.twimg.com/media/D_Nc0uzXUAEszb6.jpg","https://t.co/kqXkAKkyxM","https://twitter.com/nclgba/status/1149364397019557889/photo/1","photo","http://pbs.twimg.com/media/D_Nc0uzXUAEszb6.jpg","https://t.co/kqXkAKkyxM","https://twitter.com/nclgba/status/1149364397019557889/photo/1",,"x221944834","steve_hawryluk","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/nclgba/status/1149364397019557889","NC Local Govt Budget","North Carolina","Professional org for local govt budget professionals in NC. Promoting the budgeting profession through education, networking, advocacy.","http://t.co/kpPMhQ2isA",FALSE,401,168,7,1683,530,2009-11-11 05:20:59,FALSE,"http://t.co/kpPMhQ2isA","http://www.nclgba.org",,,"http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/738109196269424642/ntPPCcNg_normal.jpg"
"x89114709","x1149047470493720577",2019-07-10 20:07:19,"nclgba","#nclgba19 https://t.co/anLlAcC7zE","Twitter for iPhone",9,,,,TRUE,FALSE,0,0,,,"nclgba19",,"twitter.com/nclgba/status/…","https://t.co/anLlAcC7zE","https://twitter.com/nclgba/status/1149047349823660032",,,,,,,,,,,"und","x1149047349823660032","Past President @jamos51 introducing our second general session - a past presidents’ panel - and celebrating his 8 years on the NCLGBA board. Thank you, Justin, for your service and we’ll miss you on the board! https://t.co/mJtvK1tlZl",2019-07-10 20:06:51,"Twitter for iPhone",12,0,"x89114709","nclgba","NC Local Govt Budget",401,168,1683,"North Carolina","Professional org for local govt budget professionals in NC. Promoting the budgeting profession through education, networking, advocacy.",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/nclgba/status/1149047470493720577","NC Local Govt Budget","North Carolina","Professional org for local govt budget professionals in NC. Promoting the budgeting profession through education, networking, advocacy.","http://t.co/kpPMhQ2isA",FALSE,401,168,7,1683,530,2009-11-11 05:20:59,FALSE,"http://t.co/kpPMhQ2isA","http://www.nclgba.org",,,"http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/738109196269424642/ntPPCcNg_normal.jpg"
"x89114709","x1149471269558992897",2019-07-12 00:11:21,"nclgba","Thank you @Greg_James_ and @ELGL50 for hosting! We had a great time! #nclgba19 https://t.co/0AFH0Np9QB","Twitter for iPhone",78,,,,TRUE,FALSE,5,1,,,"nclgba19",,"twitter.com/greg_james_/st…","https://t.co/0AFH0Np9QB","https://twitter.com/greg_james_/status/1149467971523207168",,,,,,,,,"x32420721 x319320598","Greg_James_ ELGL50","en","x1149467971523207168","Great crowd and great food! Thank you for all of your hard work and service to your communities #ELGL #NCLGBA19. I believe this is a Supper Club attendance record, @kowyatt ..... https://t.co/4z9lXoGYRL",2019-07-11 23:58:15,"Twitter for Android",6,2,"x32420721","Greg_James_","Greg James",366,52,1981,"Apex, NC","Serving local and state governments in finding new ways to manage capacity, accelerate service provision, engage the community, and feel accomplished at work.",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/nclgba/status/1149471269558992897","NC Local Govt Budget","North Carolina","Professional org for local govt budget professionals in NC. Promoting the budgeting profession through education, networking, advocacy.","http://t.co/kpPMhQ2isA",FALSE,401,168,7,1683,530,2009-11-11 05:20:59,FALSE,"http://t.co/kpPMhQ2isA","http://www.nclgba.org",,,"http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/738109196269424642/ntPPCcNg_normal.jpg"
"x89114709","x1148334046134427649",2019-07-08 20:52:26,"nclgba","Hey #NCLGBA19 attendees! We’re excited to announce that our friends at ⁦@ELGL50⁩ and ⁦@Oracle⁩ are hosting a #supperclub on Thursday! Please join us for an evening of stimulating conversation and a chance to connect ⁦@nclgba⁩  https://t.co/i2H2omgYBY","Twitter for iPhone",140,,,,FALSE,TRUE,0,2,,,"NCLGBA19 supperclub",,,,,,,,,,,,,"x87069035 x319320598 x809273","jamos51 ELGL50 Oracle","en",,,,,,,,,,,,,,,,"x1148322011674009600","Hey #NCLGBA19 attendees! We’re excited to announce that our friends at ⁦@ELGL50⁩ and ⁦@Oracle⁩ are hosting a #supperclub on Thursday! Please join us for an evening of stimulating conversation and a chance to connect ⁦@nclgba⁩  https://t.co/i2H2omgYBY",2019-07-08 20:04:37,"Twitter for iPhone",7,2,"x87069035","jamos51","Justin Amos",263,555,496,"Charlotte, NC","Passionate about local government, Tar Heels, eating and drinking local, my home state, running long distances --views my own",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/nclgba/status/1148334046134427649","NC Local Govt Budget","North Carolina","Professional org for local govt budget professionals in NC. Promoting the budgeting profession through education, networking, advocacy.","http://t.co/kpPMhQ2isA",FALSE,401,168,7,1683,530,2009-11-11 05:20:59,FALSE,"http://t.co/kpPMhQ2isA","http://www.nclgba.org",,,"http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/738109196269424642/ntPPCcNg_normal.jpg"
"x89114709","x1149347587809583106",2019-07-11 15:59:53,"nclgba","@CallunaAilish Also, be flexible in the implementation of your strategic plan. Give it room to breathe, grow, and expand. Strategic Plans should be ""Living Documents"". Just my two cents... #NCLGBA19","Twitter for iPhone",140,,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,,,"x25166845 x387798015","NCJSE CallunaAilish","en",,,,,,,,,,,,,,,,"x1149328353582813185","@CallunaAilish Also, be flexible in the implementation of your strategic plan. Give it room to breathe, grow, and expand. Strategic Plans should be ""Living Documents"". Just my two cents... #NCLGBA19",2019-07-11 14:43:27,"TweetDeck",5,2,"x25166845","NCJSE","Josh Edwards",107,267,475,"North Carolina","Data Nerd (AKA Budget Analyst) @DurhamCounty,@ELGL50, MPA @appstate, #LocalGov, #dataviz #powerbi, view are my own.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/nclgba/status/1149347587809583106","NC Local Govt Budget","North Carolina","Professional org for local govt budget professionals in NC. Promoting the budgeting profession through education, networking, advocacy.","http://t.co/kpPMhQ2isA",FALSE,401,168,7,1683,530,2009-11-11 05:20:59,FALSE,"http://t.co/kpPMhQ2isA","http://www.nclgba.org",,,"http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/738109196269424642/ntPPCcNg_normal.jpg"
"x89114709","x1149415418655907840",2019-07-11 20:29:25,"nclgba","City/County Legislative updates are underway at #NCLGBA19. https://t.co/xGM2ARajLt","Twitter for iPhone",58,,,,FALSE,FALSE,4,0,,,"NCLGBA19",,,,,"http://pbs.twimg.com/media/D_OLOo_XYAA-HEA.jpg","https://t.co/xGM2ARajLt","https://twitter.com/nclgba/status/1149415418655907840/photo/1","photo","http://pbs.twimg.com/media/D_OLOo_XYAA-HEA.jpg","https://t.co/xGM2ARajLt","https://twitter.com/nclgba/status/1149415418655907840/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/nclgba/status/1149415418655907840","NC Local Govt Budget","North Carolina","Professional org for local govt budget professionals in NC. Promoting the budgeting profession through education, networking, advocacy.","http://t.co/kpPMhQ2isA",FALSE,401,168,7,1683,530,2009-11-11 05:20:59,FALSE,"http://t.co/kpPMhQ2isA","http://www.nclgba.org",,,"http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/738109196269424642/ntPPCcNg_normal.jpg"
"x89114709","x1149039351029993473",2019-07-10 19:35:04,"nclgba","Ken Hunter on building your network outside of work
👉🏻Who: Seek out the other servant leaders
👉🏻What: Use your skills/time to “fill the gaps” for others or build a new skill for yourself
👉🏻Why: Better understand the people and needs of your community #NCLGBA19","Twitter for iPhone",140,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,,,"x387798015","CallunaAilish","en",,,,,,,,,,,,,,,,"x1149038051521368067","Ken Hunter on building your network outside of work
👉🏻Who: Seek out the other servant leaders
👉🏻What: Use your skills/time to “fill the gaps” for others or build a new skill for yourself
👉🏻Why: Better understand the people and needs of your community #NCLGBA19",2019-07-10 19:29:54,"Twitter for iPhone",1,1,"x387798015","CallunaAilish","Heather Curry",279,497,3362,"Winston-Salem, NC","Passionate about education, #localgov, and social policy. 🎓: Coe College and UNC MPA. #joyouslylive #bettertogether Pronouns: she/her",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/nclgba/status/1149039351029993473","NC Local Govt Budget","North Carolina","Professional org for local govt budget professionals in NC. Promoting the budgeting profession through education, networking, advocacy.","http://t.co/kpPMhQ2isA",FALSE,401,168,7,1683,530,2009-11-11 05:20:59,FALSE,"http://t.co/kpPMhQ2isA","http://www.nclgba.org",,,"http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/738109196269424642/ntPPCcNg_normal.jpg"
